"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","lfm","leaf_area","auc_voc","avg_voc","norm_avg_voc","norm_auc_voc","LMA","SLA"
"71","SALAPI",9,2022-08-17,30.806,26.121,0.541149191069264,0.458850808930736,278.256595890759,0.367,1.439,0.380800000000001,241.686008385356,4.5695,3.536,1.07665,241.349617482589,10.279147305,24676.125,1374.21,8180.3083516876,146890.439907137,0.139992156674323,7.14325733495483
"72","SALLEU",1,2022-07-27,20.491,18.277,0.528554477919934,0.471445522080066,262.704918032786,0.676,0.177,0.0488,109.172259507829,2.751,1.496,0.715200000000003,118.979057591622,1.6352101748,13106.1,1026.84,10711.8714792406,136721.260171083,0.108242966395221,9.23847556384183
"73","SALLEU",10,2022-08-24,17.835,17.962,0.498226108333101,0.501773891666899,224.400564174895,0.822,0.23,0.0709,114.285714285715,2.302,0.894,0.417199999999999,130.280680188486,1.7020657686,13106.1,1026.84,10711.8714792406,136721.260171083,0.135129913451689,7.40028595043477
"74","SALLEU",2,2022-07-27,20.025,18.351,0.521810506566604,0.478189493433396,580.933852140081,0.746,0.175000000000004,0.0257000000000005,96.8881779845861,2.631,1.354,0.687700000000001,114.325763947295,1.4044026142,13106.1,1026.84,10711.8714792406,136721.260171083,0.124608141732697,8.02515779542838
"75","SALLEU",3,2022-07-27,22.515,18.698,0.546308203722127,0.453691796277873,214.285714285716,0.7575,0.143000000000002,0.0455000000000005,83.9056538328129,3.799,2.651,1.4415,87.895090786819,1.3673417176,13106.1,1026.84,10711.8714792406,136721.260171083,0.104582488897509,9.56183019300683
"76","SALLEU",4,2022-08-16,20.746,18.692,0.526040874283686,0.473959125716314,455.910543130965,0.156,0.174000000000001,0.0313000000000017,106.078706957133,29.806,1.173,0.5692,124.313072439633,1.6387585966,13106.1,1026.84,10711.8714792406,136721.260171083,0.106177932711387,9.41815285402292
"77","SALLEU",5,2022-08-16,18.99,17.828,0.51578032484111,0.48421967515889,396.402877697841,0.16,0.138,0.0278,127.822580645161,2.126,0.904,0.396800000000001,145.407442298634,1.2682314916,13106.1,1026.84,10711.8714792406,136721.260171083,0.108812942206552,9.19008327246377
"78","SALLEU",6,2022-08-16,20.172,18.326,0.523975271442672,0.476024728557328,337.95620437956,0.18,0.18,0.0411000000000001,105.374280230326,2.466,1.284,0.625200000000001,119.720846465556,1.6538278212,13106.1,1026.84,10711.8714792406,136721.260171083,0.108838415760471,9.18793234000001
"79","SALLEU",7,2022-08-17,19.759,17.818,0.525826968624425,0.474173031375576,362.633451957294,0.158,0.130000000000001,0.0281000000000002,78.728422858368,3.105,1.667,0.932700000000001,87.0316402997501,1.2124070262,13106.1,1026.84,10711.8714792406,136721.260171083,0.107224716774741,9.3262078938461
"80","SALLEU",8,2022-08-24,19.933,18.691,0.516078086164043,0.483921913835957,302.877697841723,0.56,0.111999999999999,0.0278,82.5752055792649,3.18,1.754,0.960700000000001,88.7708649468889,1.0496899134,13106.1,1026.84,10711.8714792406,136721.260171083,0.106698176833219,9.37223136964292
"81","SALLEU",9,2022-08-24,17.78,17.37,0.505832147937411,0.494167852062589,227.146171693736,0.716,0.141,0.0430999999999999,114.193214193214,2.18,0.827,0.386100000000001,125.535880708294,1.0905593942,13106.1,1026.84,10711.8714792406,136721.260171083,0.129291445060114,7.73446378865248
