label,species,plant_number,leaf_number,area_cm2,std_dev_cm2,x,y,xm,ym,perim,bx,by,width,height,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,ar,round,solidity,x_1,notes,,
CEAGRI_P3_R1_W_00001.jpg,CEAGRI,3,2,8.363473021,14.14214711,8.803029413,5.075365409,8.803550233,5.075318278,13.35197537,6.821266977,3.632103196,3.897866844,3.04151731,3.704870154,2.874245018,25.70545609,0.589529415,4.067474213,1617,1353,18.00274878,2.980842768,1.28898898,0.775801822,0.961923368,22,,,
CEAGRI_P3_R1_W_00001.jpg,CEAGRI,3,3,6.82453647,21.52771094,16.02070495,12.82960482,16.01937793,12.82899853,12.21977195,13.95470078,11.52908018,3.855682138,2.55639319,3.519734243,2.468728918,169.8101522,0.57432381,3.890308271,3309,2967,167.9833498,2.549216516,1.425727312,0.701396397,0.952590077,24,,,
CEAGRI_P3_R1_W_00001.jpg,CEAGRI,3,4,6.701071331,15.85275081,8.867265553,12.99158559,8.867253514,12.99250907,10.93792634,7.222021686,11.60501265,3.353684135,2.682947308,3.234285273,2.638007563,174.905684,0.703856484,3.384415112,1712,2987,171.7588007,2.678546598,1.226033359,0.815638492,0.976956325,25,,,
CEAGRI_P3_R1_W_00001.jpg,CEAGRI,3,5,8.426913959,24.09108097,11.32551492,20.97063173,11.32430754,20.96985279,13.41163355,8.993779342,19.5779221,4.361898611,2.771535191,3.962222887,2.707944605,179.87578,0.588728508,4.364396748,2132,5018,178.0613279,2.771535191,1.463184616,0.683440756,0.958568611,26,,,
CEAGRI_P4_R1_W_00001.jpg,CEAGRI,4,1,3.706801461,18.4817534,15.44207821,6.029342441,15.44187813,6.029699124,9.319172557,14.07281796,5.079038615,2.644981073,1.982681187,2.482362553,1.901271915,11.44493239,0.536357654,2.667317985,3336,1445,8.091657417,1.949365959,1.305632579,0.765912261,0.950412469,27,,,
CEAGRI_P4_R1_W_00001.jpg,CEAGRI,4,2,1.494874907,17.02217889,8.504946088,5.899564544,8.505269655,5.899758701,5.335895077,7.766204394,5.184500381,1.493338596,1.400532243,1.427888798,1.332970641,141.2436219,0.65978153,1.507759532,1841,1364,170.0105926,1.332222352,1.071207987,0.933525526,0.959086161,28,,,
CEAGRI_P4_R1_W_00001.jpg,CEAGRI,4,3,3.014058459,16.85234672,8.953724793,12.38796211,8.953356945,12.38820908,8.012016131,7.728238159,11.43205536,2.362343542,1.843471657,2.185610842,1.755856233,165.3109688,0.590035178,2.403599265,1832,2863,167.8420336,1.819649705,1.24475501,0.803370938,0.947607232,30,,,
CEAGRI_P4_R1_W_00001.jpg,CEAGRI,4,4,3.668469967,18.05777912,14.98819774,12.68063323,14.9885688,12.68031476,8.972482755,13.54129066,11.74844065,2.750442838,1.910967187,2.500691487,1.867819783,4.23155423,0.572624028,2.756417906,3210,2983,176.2267549,1.904056534,1.338829104,0.746921319,0.955290694,31,,,
CEAGRI_P4_R1_W_00001.jpg,CEAGRI,4,5,3.999839866,15.08168203,11.91087865,19.59707697,11.91028149,19.59661794,9.474883429,10.33947147,18.53595986,2.906526251,2.07548754,2.562547802,1.987379235,168.6847229,0.559892587,2.91827016,2451,4619,174.8580603,2.030641973,1.289410575,0.775548161,0.940546082,32,,,
ERIKAR_P1_R1_W_00001.jpg,ERIKAR,1,1,0.620546682,27.61982406,16.71554801,4.123492116,16.72020858,4.123544004,6.481417424,15.5745935,3.851463668,2.155638482,0.577930474,1.77467267,0.445211439,174.1675595,0.185628364,2.155741671,3692,1004,179.4393938,0.574943905,3.986134481,0.250869609,0.659810785,1,,,
